varname,count,sum,mean,stddev
CounterJ_LOne,67,41.9899,0.626715,0.0840066
CounterJ_LTwo,67,40.8504,0.609708,0.0656375
CounterK_main,49,30.0599,0.613467,0.0387302
CounterK_LOne,49,31.5846,0.644583,0.0809
CounterK_LTwo,49,28.5352,0.582351,0.07261
Counter,217,119.526,0.550812,0.0968536
Failed,183,92.1299,0.503442,0.0901659
CounterB_main,62,37.6179,0.606741,0.0478986
CounterB_LOne,62,37.2109,0.600175,0.0812935
CounterB_LTwo,62,38.025,0.613306,0.0487854
CounterC_main,41,25.2609,0.616119,0.0350623
CounterC_LOne,41,26.0485,0.63533,0.088647
CounterC_LTwo,41,24.4732,0.596908,0.0757684
CounterJ_main,67,41.4201,0.618211,0.0466489
CounterJ_LOne,67,41.9899,0.626715,0.0840066
CounterJ_LTwo,67,40.8504,0.609708,0.0656375
CounterK_main,49,30.1212,0.614719,0.0385605
CounterK_LOne,49,31.5429,0.643733,0.0818694
CounterK_LTwo,49,28.6995,0.585704,0.0710484
Counter,217,121.359,0.559256,0.0866802
Failed,183,92.1299,0.503442,0.0901659
CounterB_main,62,37.6179,0.606741,0.0478986
CounterB_LOne,62,37.2109,0.600175,0.0812935
CounterB_LTwo,62,38.025,0.613306,0.0487854
CounterC_main,41,25.2609,0.616119,0.0350623
CounterC_LOne,41,26.0485,0.63533,0.088647
CounterC_LTwo,41,24.4732,0.596908,0.0757684
CounterJ_main,65,40.194,0.618369,0.0469472
CounterJ_LOne,65,40.6647,0.62561,0.0845543
CounterJ_LTwo,65,39.7233,0.611128,0.06606
CounterK_main,49,30.2149,0.61663,0.0400543
CounterK_LOne,49,31.7667,0.6483,0.0838916
CounterK_LTwo,49,28.663,0.58496,0.0707888
Counter,216,121.581,0.562874,0.0854558
Failed,184,92.5917,0.503216,0.0899715
CounterB_main,62,37.6179,0.606741,0.0478986
CounterB_LOne,62,37.2109,0.600175,0.0812935
CounterB_LTwo,62,38.025,0.613306,0.0487854
CounterC_main,41,25.2609,0.616119,0.0350623
CounterC_LOne,41,26.0485,0.63533,0.088647
CounterC_LTwo,41,24.4732,0.596908,0.0757684
CounterJ_main,65,40.194,0.618369,0.0469472
CounterJ_LOne,65,40.6647,0.62561,0.0845543
CounterJ_LTwo,65,39.7233,0.611128,0.06606
CounterK_main,49,30.2355,0.617052,0.0401678
CounterK_LOne,49,31.6138,0.64518,0.0874973
CounterK_LTwo,49,28.8573,0.588924,0.0772483
Counter,214,119.91,0.560329,0.0861935
Failed,186,93.798,0.504291,0.0900915
CounterB_main,62,37.6179,0.606741,0.0478986
CounterB_LOne,62,37.2109,0.600175,0.0812935
